Image,X,Y
dataset/images/-3205742176803893704.png,331,350
dataset/images/-4762289084741430925.png,531,398
dataset/images/-3799298995660217860.png,358,502
dataset/images/-3575683440831198879.png,436,473
dataset/images/-6942912841265248602.png,463,342
dataset/images/-220649468572111832.png,343,567
dataset/images/-217828380359571871.png,382,421
dataset/images/-3712452163219577722.png,361,430
dataset/images/-1677898261371801194.png,354,310
dataset/images/2919857728265265465.png,487,804
dataset/images/-3482201713629668213.png,460,426
dataset/images/-2343989119243327962.png,287,575
dataset/images/-341324569907477536.png,275,474
dataset/images/-7488721783507435350.png,379,518
dataset/images/7624703560142571231.png,389,521
dataset/images/-1542787778564695920.png,533,462
dataset/images/-3060870142909393201.png,239,437
dataset/images/-1306941150253534667.png,385,528
dataset/images/960187272475981264.png,408,458
dataset/images/-8195825849611846307.png,343,576
dataset/images/-304171554496873031.png,245,362
dataset/images/-3933475004882152757.png,298,409
dataset/images/-1979417173631887595.png,298,409
dataset/images/4174575629707577584.png,319,470
dataset/images/-420948865655293968.png,357,328
dataset/images/-3194582777873313186.png,407,587
dataset/images/-106355051564979815.png,417,507
dataset/images/-1019470696082480487.png,410,528
dataset/images/1729541313098155924.png,265,547
dataset/images/-3829216436875682288.png,289,307
dataset/images/-3136247653193336048.png,407,291
dataset/images/-1214887362025110286.png,398,395
dataset/images/-3583990329304518263.png,338,451
dataset/images/9160515254792469987.png,295,607
dataset/images/8992004962400932960.png,463,488
dataset/images/-1112878697045853123.png,394,571
dataset/images/-1082823433701111185.png,403,497
dataset/images/-205369795937763847.png,355,595
dataset/images/-6974606759109816662.png,544,241
dataset/images/-7558789574725246528.png,293,600
dataset/images/-7302111413801214907.png,445,462
dataset/images/-5949315841433628424.png,440,479
dataset/images/-8733099384376486023.png,306,217
dataset/images/-3911131908890343991.png,309,424
dataset/images/8375327487552231557.png,492,576
dataset/images/-7677399289265020821.png,319,538
dataset/images/-8383531997336683331.png,330,173
dataset/images/1323541714731364649.png,363,484
